Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3926,0,6,15.167390651341671,1.4331249985843897,269.4687079638243,67.0,66.4269835354738,0.0,6,10,16,22,38,47,64,220,260,270,270
,Aggregated,3926,0,6,15.167390651341671,1.4331249985843897,269.4687079638243,67.0,66.4269835354738,0.0,6,10,16,22,38,47,64,220,260,270,270
